,variant_id,beta,effect_allele_frequency
2468,rs72928978,1.05,0.89
2469,rs56200889,1.04,0.733
2470,rs1127787,1.06,0.85
2471,rs3764002,1.03,0.7190000000000001
2472,rs328,1.05,0.902
2473,rs13266634,1.09,0.68
2474,rs60980157,1.07,0.747
2475,rs5215,1.06,0.389
2476,rs35264875,1.07,0.8270000000000001
2477,rs1127787,1.06,0.84
2478,rs3764002,1.04,0.726
2479,rs1169288,1.04,0.337
2480,rs781852,1.05,0.387
2481,rs10278,1.05,0.706
2482,rs58542926,1.09,0.079
2483,rs17265513,1.05,0.21100000000000002
2484,rs1800961,1.09,0.035
2485,rs41278853,1.09,0.917
2486,rs738409,1.04,0.22699999999999998
2487,rs4077129,1.04,0.259
2488,rs9891146,1.04,0.27699999999999997
2489,rs1800574,1.11,0.033
2490,rs35742417,1.04,0.807
2493,rs16826069,1.05,0.212
2494,rs140386498,1.19,0.988
2496,rs35720761,1.07,0.895
2500,rs5219,1.07,0.364
2501,rs35169799,1.05,0.0585
2503,rs56200889,1.05,0.733
2504,rs1127787,1.05,0.85
2508,rs781831,1.03,0.42200000000000004
2509,rs58542926,1.09,0.0755
2510,rs1800437,1.06,0.2
2511,rs35264875,1.06,0.8270000000000001
2512,rs56200889,1.05,0.721
2513,rs1127787,1.05,0.84
2516,rs1060105,1.04,0.7959999999999999
2517,rs781852,1.04,0.387
2518,rs10278,1.04,0.706
2520,rs1800437,1.06,0.218
2521,rs17265513,1.04,0.21100000000000002
2523,rs28265,1.09,0.9159999999999999
2526,rs7607980,1.09,0.879
2527,rs1801282,1.1,0.887
2528,rs2276853,1.03,0.588
2531,rs146886108,1.27,0.996
2533,rs9379084,1.1,0.884
2535,rs2233580,1.38,0.0294
2536,rs9271774,1.09,0.74
2570,rs2075423,1.07,0.622753026853543
2571,rs780094,1.06,0.613751766081311
2572,rs10203174,1.14,0.8938903673259542
2573,rs243088,1.07,0.44676300149567
2575,rs13389219,1.07,0.6008951984080451
2576,rs2943640,1.1,0.634514929084023
2577,rs1801282,1.13,0.8552033726022901
2578,rs1496653,1.09,0.7509270555491852
2579,rs6795735,1.08,0.5899875988232789
2580,rs11717195,1.11,0.7715098986826799
2581,rs4402960,1.13,0.32538541911922
2582,rs4458523,1.1,0.573657632191931
2583,rs459193,1.08,0.7024069329639361
2584,rs6878122,1.1,0.27995820882670003
2585,rs7756992,1.17,0.292255246133759
2586,rs17168486,1.11,0.19264055499943
2612,rs6960043,1.06,0.47099200705267497
2613,rs849135,1.11,0.5167931397122589
2614,rs10278336,1.07,0.497434854705026
2615,rs516946,1.09,0.7644762529354828
2616,rs7845219,1.06,0.52252758480133
2617,rs3802177,1.14,0.6629670973436079
2618,rs10758593,1.06,0.42497820572083705
2619,rs10811661,1.18,0.824988872842347
2620,rs17791513,1.12,0.910610002991984
2621,rs2796441,1.07,0.5746686796232491
2622,rs11257655,1.07,0.231035682630139
2623,rs12571751,1.08,0.517057010272647
2624,rs1111875,1.11,0.581455301385325
2625,rs7903146,1.39,0.268379563153031
2626,rs163184,1.09,0.498159618830787
2627,rs231361,1.09,0.285885252458384
2628,rs5215,1.07,0.40770292328364605
2629,rs1552224,1.11,0.81360202878336
2630,rs10830963,1.1,0.30609557300671897
2631,rs11063069,1.08,0.21444980602510602
2632,rs10842994,1.1,0.8011379913779201
2633,rs2261181,1.13,0.10095355812708301
2634,rs7955901,1.07,0.44651903588297204
2635,rs12427353,1.08,0.7940859168422991
2636,rs1359790,1.08,0.7185420807961931
2637,rs4502156,1.06,0.518359419543052
2638,rs7177055,1.08,0.6788617820010939
2639,rs12899811,1.08,0.309688680465307
2640,rs9936385,1.13,0.40844808091712104
2641,rs7202877,1.12,0.8909159670778221
2642,rs11651052,1.1,0.44481527580254293
2643,rs11873305,1.18,0.9597711681507729
2644,rs8108269,1.07,0.31074111685128997
2645,rs10401969,1.13,0.080536977769365
2646,rs12970134,1.08,0.270057407439791
2647,rs1800961,1.1,0.0316
2648,rs28265,1.09,0.925
2649,rs738409,1.05,0.239
2652,rs1800574,1.1,0.033
2653,rs16826069,1.05,0.221
2654,rs140386498,1.2,0.986
2655,rs1260326,1.05,0.617
2659,rs1801282,1.09,0.871
2660,rs6780013,1.03,0.616
2661,rs1801212,1.06,0.71
2662,rs146886108,1.28,0.995
2663,rs2307111,1.03,0.597
2665,rs9379084,1.09,0.887
2670,rs5215,1.07,0.389
2671,rs35169799,1.06,0.071
2672,rs1495377,1.28,0.5
2673,rs9465871,1.18,0.18
2674,rs9939609,1.34,0.4
2675,rs358806,1.16,0.8
2676,rs12304921,2.5,0.15
2677,rs4506565,1.36,0.32
2678,rs7659604,1.35,0.38
2679,rs7542900,1.16,0.56
2680,rs7560163,1.33,0.86
2681,rs7107217,1.18,0.91
2682,rs2722769,1.35,0.53
2685,rs7903146,1.4,0.3
2687,rs3923113,1.04,0.61
2688,rs17791513,1.21,0.93
2689,rs1111875,1.15,0.58
2690,rs11257655,1.06,0.23
2691,rs1552224,1.13,0.83
2692,rs163184,1.09,0.5
2693,rs849135,1.12,0.52
2694,rs5215,1.08,0.38
2695,rs17168486,1.13,0.19
2696,rs1535500,1.13,0.59
2697,rs16861329,1.03,0.85
2698,rs10830963,1.11,0.27
2699,rs2075423,1.08,0.66
2700,rs4812829,1.07,0.16
2701,rs8108269,1.06,0.3
2702,rs2261181,1.16,0.09
2707,rs7041847,1.05,0.5
2708,rs12899811,1.09,0.3
2709,rs516946,1.1,0.77
2710,rs7845219,1.08,0.53
2712,rs1359790,1.1,0.73
2713,rs2028299,1.04,0.29
2714,rs9936385,1.13,0.39
2715,rs4402960,1.13,0.31
2716,rs1801282,1.16,0.88
2717,rs3802177,1.16,0.7
2718,rs7612463,1.1,0.87
2719,rs12970134,1.08,0.27
2733,rs4430796,1.13,0.53
2734,rs10811661,1.18,0.82
2735,rs12427353,1.12,0.77
2736,rs10842994,1.09,0.8
2737,rs7163757,1.06,0.56
2738,rs243088,1.09,0.46
2739,rs4458523,1.09,0.59
2740,rs2796441,1.07,0.63
2741,rs2943640,1.09,0.63
2742,rs7178572,1.08,0.7
2743,rs12571751,1.09,0.51
2744,rs11717195,1.09,0.78
